rank,ranking_eligible,ranking_area_threshold_km2,name,gb,valid_cells,valid_area_km2,level_1_cells,level_1_area_km2,level_1_share,level_2_cells,level_2_area_km2,level_2_share,level_3_cells,level_3_area_km2,level_3_share,tdpi_high_cells,tdpi_high_area_km2,tdpi_high_share,priority_index
25,1,100.0,色达县,156513333,8725,8725.0,31,31.0,0.0035530085959885388,30,30.0,0.0034383954154727794,8664,8664.0,0.9930085959885386,31,31.0,0.0035530085959885388,0.017535816618911175
26,1,100.0,石渠县,156513332,22273,22273.0,46,46.0,0.002065280833295919,118,118.0,0.0052978943114982266,22109,22109.0,0.9926368248552059,46,46.0,0.002065280833295919,0.01679163112288421
27,1,100.0,九龙县,156513324,6714,6714.0,2,2.0,0.0002978850163836759,53,53.0,0.007893952934167411,6659,6659.0,0.9918081620494489,48,48.0,0.0071492403932082215,0.01668156091748585
28,1,100.0,壤塘县,156513230,6618,6618.0,13,13.0,0.001964339679661529,34,34.0,0.005137503777576307,6571,6571.0,0.9928981565427621,17,17.0,0.0025687518887881535,0.0161680265941372
29,1,100.0,新龙县,156513329,9253,9253.0,4,4.0,0.0004322922295471739,60,60.0,0.0064843834432076084,9189,9189.0,0.9930833243272452,4,4.0,0.0004322922295471739,0.014265643575056738
30,1,100.0,炉霍县,156513327,4468,4468.0,9,9.0,0.0020143240823634737,17,17.0,0.0038048343777976725,4442,4442.0,0.9941808415398389,9,9.0,0.0020143240823634737,0.013652641002685767
31,1,100.0,白玉县,156513331,10253,10253.0,18,18.0,0.001755583731590754,21,21.0,0.0020481810201892128,10214,10214.0,0.99619623524822,20,20.0,0.0019506485906563933,0.009363113235150686
,0,100.0,木里藏族自治县,156513422,50,50.0,0,0.0,0.0,0,0.0,0.0,50,50.0,1.0,0,0.0,0.0,0.0
,0,100.0,平武县,156510727,31,31.0,0,0.0,0.0,0,0.0,0.0,31,31.0,1.0,0,0.0,0.0,0.0
,0,100.0,宝兴县,156511827,26,26.0,0,0.0,0.0,3,3.0,0.11538461538461539,23,23.0,0.8846153846153846,3,3.0,0.11538461538461539,0.23076923076923078
,0,100.0,天全县,156511825,21,21.0,0,0.0,0.0,0,0.0,0.0,21,21.0,1.0,0,0.0,0.0,0.0
,0,100.0,石棉县,156511824,18,18.0,0,0.0,0.0,0,0.0,0.0,18,18.0,1.0,0,0.0,0.0,0.0
,0,100.0,冕宁县,156513433,9,9.0,0,0.0,0.0,0,0.0,0.0,9,9.0,1.0,0,0.0,0.0,0.0
,0,100.0,北川羌族自治县,156510726,8,8.0,0,0.0,0.0,0,0.0,0.0,8,8.0,1.0,0,0.0,0.0,0.0
,0,100.0,汉源县,156511823,6,6.0,0,0.0,0.0,0,0.0,0.0,6,6.0,1.0,0,0.0,0.0,0.0
,0,100.0,都江堰市,156510181,6,6.0,0,0.0,0.0,2,2.0,0.3333333333333333,4,4.0,0.6666666666666666,1,1.0,0.16666666666666666,0.6666666666666666
,0,100.0,绵竹市,156510683,3,3.0,0,0.0,0.0,0,0.0,0.0,3,3.0,1.0,0,0.0,0.0,0.0
,0,100.0,荥经县,156511822,3,3.0,0,0.0,0.0,0,0.0,0.0,3,3.0,1.0,0,0.0,0.0,0.0
,0,100.0,什邡市,156510682,2,2.0,0,0.0,0.0,0,0.0,0.0,2,2.0,1.0,0,0.0,0.0,0.0
,0,100.0,彭州市,156510182,2,2.0,0,0.0,0.0,0,0.0,0.0,2,2.0,1.0,0,0.0,0.0,0.0
